Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880),0.7670548982727443,2.7165470815998733,0.0,0.0,0.0,17/23,14.99%,CASQ2;GSTM2;HRC;CALM1;CASQ1;ATP1A2;CLIC2;CACNA1C;AKAP6;ANK2;PRKACA;CALM2;CAMK2D;SLC8A1;DMD;PDE4D;DHRS7C
prerank,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881),0.7816311665622923,2.624316935183857,0.0,0.0,0.0,13/17,13.25%,CASQ2;GSTM2;HRC;CALM1;ATP1A2;CLIC2;CACNA1C;ANK2;PRKACA;CALM2;CAMK2D;SLC8A1;DMD
prerank,muscle organ development (GO:0007517),0.5967448298562668,2.5955618587278138,0.0,0.0,0.0,27/56,13.25%,SMTN;FHL1;SGCA;BVES;ITGA7;SPEG;POU6F1;CACNA1H;SGCE;FHL3;CTF1;MEF2B;MEF2D;MRAS;CHODL;MYH3;TCF21;SGCD;ITGB1BP2;MSTN;MEF2A;MKX;SGCG;CAPN3;LAMA2;MEF2C;DMD
prerank,regulation of heart contraction (GO:0008016),0.5091677594003013,2.5458019397776304,0.0,0.0,0.0,40/91,12.53%,FXYD6;DMPK;HSPB7;PLN;TPM1;ATP2B4;NPR1;FXYD1;CACNA1H;ATP1B2;CASQ2;STIM1;HRC;DES;TNNI3K;CALM1;CASQ1;ATP1A2;NPR2;NOS1;ANK2;PRKACA;NPPC;TRPC1;SMAD7;ADORA3;SLC8A2;CELF2;AHCYL1;CALM2;ATP2A2;FXYD7;RYR3;ASB3;ATP1A3;NPPA;CAMK2D;ITPR1;SLC8A1;ABCC9
prerank,regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882),0.6745523706960453,2.5317812669038644,0.0,0.0,0.0,14/21,13.25%,CASQ2;GSTM2;HRC;CALM1;ATP1A2;CLIC2;CACNA1C;ANK2;PRKACA;CALM2;ATP2A2;CAMK2D;SLC8A1;DMD
prerank,negative regulation of ion transport (GO:0043271),0.6548243641585372,2.473847719892583,0.0,0.0,0.0,9/25,5.95%,GPM6B;PLN;SYT11;CASQ2;VIP;SNCA;INPP5K;PACSIN3;NOS1
prerank,negative regulation of cold-induced thermogenesis (GO:0120163),0.5647537065567233,2.4246357950823167,0.0,0.0,0.0,24/46,18.48%,NR1D1;ATF4;TFE3;NOVA1;FLCN;ALDH1A1;MAP2K6;ARNTL;PLCL1;LNPEP;NR1H2;RBPJ;IP6K1;ABHD6;LAMA4;NPR3;ADAMTS5;IL15;RHEB;DDIT3;NOVA2;NR1H3;WNT10B;IL18R1
prerank,regulation of microtubule polymerization (GO:0031113),0.5880255405105175,2.3736025552516336,0.0,0.00251475374098815,0.01,17/38,10.50%,CLIP3;STMN2;GBA2;MAPT;SNCA;RAC1;MAPRE3;ARL2;FES;OCLN;CLIP1;MAP2;NUMA1;DCTN1;TUBB4A;CDH5;SLAIN2
prerank,regulation of ryanodine-sensitive calcium-release channel activity (GO:0060314),0.6400504539885936,2.370322433219078,0.0,0.0022353366586561336,0.01,15/24,13.39%,JPH2;CASQ2;GSTM2;HRC;CALM1;CLIC2;PKD2;AKAP6;NOS1;PRKACA;CALM2;JPH4;CAMK2D;DMD;PDE4D
prerank,myofibril assembly (GO:0030239),0.5954555352096408,2.3579969964081102,0.0,0.00603540897837156,0.03,25/42,15.89%,CSRP1;PGM5;LMOD1;TPM1;TMOD2;TMOD1;CASQ1;FLII;CSRP2;MYOZ2;MYH3;OBSL1;PDGFRA;ACTC1;KLHL41;MYOZ1;MYL2;TCAP;CAPN3;CFLAR;WDR1;TNNT3;KRT19;MYOM2;FHOD3
prerank,extracellular matrix assembly (GO:0085029),0.6067129700054975,2.355754814426198,0.0,0.005486735434883237,0.03,13/24,11.07%,FBLN5;GPM6B;MFAP4;LAMB2;EFEMP2;LTBP3;EMILIN1;RAMP2;LAMB1;NTN4;TNXB;NTNG1;PXDN
prerank,regulation of endocytosis (GO:0030100),0.48406300779946765,2.319403434497338,0.0,0.005029507481976301,0.03,22/60,18.03%,CLIP3;STON1;LGALS3;SYT11;RAB5B;SNCA;PACSIN3;PACSIN2;SMPD1;RAB4B;PRKD1;FLOT1;SNX33;LRSAM1;PACSIN1;GPC3;RUFY1;SNX17;EPHA3;RIT2;RAB5C;DLL1
prerank,regulation of focal adhesion assembly (GO:0051893),0.500126251353216,2.30610596615444,0.0,0.004642622291055046,0.03,22/53,13.80%,FAM107A;GPM6B;FERMT2;PTEN;VCL;DUSP22;APOD;ARHGAP6;MYOC;CORO1C;RAC1;DUSP3;COL16A1;DAPK3;RHOA;EFNA5;PHLDB2;DLC1;SFRP1;TSC1;ITGB1BP1;PPM1F
prerank,retrograde axonal transport (GO:0008090),0.7943012722072081,2.305863788710046,0.0,0.004311006413122543,0.03,13/16,12.21%,DST;KIF5A;KIF1C;MAP1A;NEFL;TMEM108;HAP1;KIF1A;SOD1;PAFAH1B1;ACTR10;MGARP;DLG2
prerank,muscle contraction (GO:0006936),0.46691681072272995,2.2997186470404567,0.0,0.00402360598558104,0.03,57/128,14.66%,MYL9;CRYAB;SMTN;TACR2;TPM2;SGCA;LMOD1;SORBS1;MYLK;TPM1;TLN1;GNAO1;FXYD1;ACTA2;CACNA1H;CALD1;CASQ2;TMOD2;VCL;GALR2;HRC;TMOD1;SNTA1;SORBS3;DES;SSPN;CALM1;PABPN1;MYL7;MYL6;MYOM1;DTNA;TPCN2;GJC1;MYOT;MYH3;SMPX;NOS1;ALDOA;PXN;ACTC1;KLHL41;P2RX6;MYL2;TCAP;MYL1;MYOF;GAMT;SLC8A1;MYL3;DYSF;DMD;VIM;ITGB5;SCN4A;TNNT3;SLC6A8
prerank,regulation of muscle cell differentiation (GO:0051147),0.5449955164403489,2.295366616922522,0.0,0.003772130611482225,0.03,16/35,14.61%,BOC;MYOCD;CDK9;SRF;MAPK14;CDON;MEGF10;CAMK1;RBM4;ID2;MAPK11;MEF2A;BNIP2;FGFR2;MEF2C;CDH2
prerank,regulation of cardiac conduction (GO:1903779),0.5765161642671685,2.2805134060156798,0.0,0.0071004811510253655,0.06,27/54,12.53%,FXYD6;DMPK;ATP2B4;NPR1;FXYD1;ATP1B2;CASQ2;STIM1;TNNI3K;CASQ1;ATP1A2;NPR2;NOS1;ANK2;PRKACA;NPPC;TRPC1;SLC8A2;AHCYL1;ATP2A2;FXYD7;RYR3;ATP1A3;NPPA;ITPR1;SLC8A1;ABCC9
prerank,substantia nigra development (GO:0021762),0.5685582178060813,2.2481603145567317,0.0,0.007823678305296468,0.07,14/39,11.16%,NDRG2;PLP1;SYPL2;MAOB;INA;CALM1;SIRT2;RHOA;SYNGR3;ACTB;MAPKAP1;CALM2;CKB;CNP
prerank,regulation of calcium ion transmembrane transporter activity (GO:1901019),0.5566133424072309,2.2376957555042973,0.0,0.007411905762912443,0.07,15/27,14.40%,PLN;JPH2;HRC;CALM1;NOS1;ANK2;PRKACA;SLN;CALM2;JPH4;CAMK2D;CACNB2;DMD;PDE4D;AHNAK
prerank,regulation of potassium ion transport (GO:0043266),0.583624891811919,2.2347603454723366,0.0,0.00804721197116208,0.08,12/31,11.35%,FHL1;KCNA5;DPP6;CASQ2;KCNH2;VIP;KCNIP3;CD63;NOS1;ANK2;KCNE2;KCNIP4
prerank,anterograde axonal transport (GO:0008089),0.5551553353477068,2.233325863153553,0.0,0.007664011401106743,0.08,16/37,12.49%,AP3S2;HSPB1;KIF5A;KIF1C;MAP1A;BLOC1S1;NEFL;HAP1;SNAPIN;KIF5C;KIF1A;SOD1;TRAK2;MGARP;DLG2;AP3B2
prerank,positive regulation of cation channel activity (GO:2001259),0.5820488120365219,2.233168954332268,0.0,0.007315647246510982,0.08,24/38,19.34%,PIRT;JPH2;GSTM2;GALR2;CALM1;CASQ1;PKD2;AKAP6;LRRC55;ANK2;CTSS;HAP1;CCL2;STAC;CALM2;NLGN3;STAC2;ARC;ADRB2;ANK3;LRRC38;ACTN2;KCNIP2;SHANK3
prerank,DNA replication-independent nucleosome assembly (GO:0006336),-0.6668729318997584,-2.2271126503153167,0.0,0.0,0.0,16/34,11.73%,CENPN;CENPU;CENPH;CENPW;HJURP;CENPA;OIP5;CENPO;CENPK;RUVBL1;CENPL;MIS18A;CENPM;MIS18BP1;CENPP;HIRA
prerank,protein localization to cell surface (GO:0034394),0.5947590209539104,2.2181166811571806,0.0,0.006997575627097461,0.08,11/27,10.29%,PRRT1;FBLN5;JAM3;FLNA;VCL;RIC3;GPIHBP1;ANK2;FGF7;GGA3;ANGPT1
prerank,cellular response to nutrient levels (GO:0031669),0.49873851972420324,2.2037588359140514,0.0,0.0067060099759684005,0.08,25/60,15.72%,FAM107A;MAP1LC3C;WDR45;ULK1;ZFYVE1;KCNB1;FLCN;CARTPT;GAS2L1;MTOR;KLF10;RRAGA;PRKAA2;TFEB;RRAGD;MAP1LC3A;SFRP1;ATG14;LPL;RRAGB;TSC1;RRAGC;HSPA8;MAP1LC3B;SREBF1
prerank,CENP-A containing nucleosome assembly (GO:0034080),-0.7212771959227654,-2.201147408113359,0.0,0.002338762384496822,0.01,15/26,11.37%,CENPN;CENPU;CENPH;CENPW;HJURP;CENPA;OIP5;CENPO;CENPK;RUVBL1;CENPL;MIS18A;CENPM;MIS18BP1;CENPP
prerank,CENP-A containing chromatin organization (GO:0061641),-0.7212771959227654,-2.201147408113359,0.0,0.002338762384496822,0.01,15/26,11.37%,CENPN;CENPU;CENPH;CENPW;HJURP;CENPA;OIP5;CENPO;CENPK;RUVBL1;CENPL;MIS18A;CENPM;MIS18BP1;CENPP
prerank,actin polymerization or depolymerization (GO:0008154),0.4730778561496928,2.1911231229651253,0.0,0.007242490774045873,0.09,17/48,13.90%,FAM107A;DSTN;GSN;CFL2;WASF1;GAS7;ARHGAP6;RAC1;FLII;CORO7;WASF3;MICAL3;ENAH;EVL;WDR1;JAK2;MSRB2
prerank,positive regulation of muscle cell differentiation (GO:0051149),0.5680394801754363,2.1874762409423028,0.0,0.007737703818425078,0.09,11/27,14.61%,BOC;MYOCD;MAPK14;CDON;CAMK1;RBM4;MAPK11;MEF2A;BNIP2;MEF2C;CDH2
prerank,DNA replication (GO:0006260),-0.5353634537704868,-2.1801696850859495,0.0,0.0017540717883726162,0.01,46/106,17.37%,EXO1;ORC6;DBF4;CHEK1;BLM;RFC3;MCM4;CDK1;POLE2;FAM111B;TICRR;TIPIN;TIMELESS;RMI1;RPA3;FEN1;RECQL4;POLB;DNA2;RFC5;TOP1MT;RMI2;POLA1;MCM7;MCM10;RAD9B;MCM3;TOPBP1;WDHD1;RBBP8;RPA4;TOP1;BAZ1A;CDC7;WRN;MCM2;MCM5;ATR;CLSPN;RNASEH2A;RFC2;SET;CDC6;MCM6;POLD2;CDC45
